ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to
TICKET-203,High,Open,Network,WiFi authentication intermittent,Users on Guest network intermittently dropped; credentials re-entry required.,2024-11-28,,Network_Ops
TICKET-204,Critical,Closed,Software,New software installation request (Photoshop),Request for installation of Adobe Photoshop on Marketing Dept. workstation.,2024-11-27,2024-12-02,System_Admin
TICKET-205,Medium,Open,Access,Multi-factor authentication reset,User lost phone/authenticator device; MFA token needs reset.,2024-11-28,,Network_Ops
TICKET-206,Critical,Resolved,Network,VPN slow connectivity,Experiencing intermittent packet loss and slow connection when using VPN from home.,2024-11-15,2024-11-19,Helpdesk
TICKET-207,Medium,In Progress,Hardware,Monitor cable missing,New employee setup; DVI/HDMI cable for second monitor is required.,2024-12-01,,Helpdesk
TICKET-208,Medium,Resolved,Software,Office 365 licensing issue,User cannot activate Outlook after update; receiving error code 0x80041003.,2024-11-27,2024-11-30,IT_Support
TICKET-209,Critical,Open,Server,Database server unresponsive,SQL server instance is not accepting connections. Check services/logs.,2024-11-25,,System_Admin
TICKET-210,High,Open,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-11-23,,Network_Ops
TICKET-211,Critical,Closed,Software,Windows Update failure,Patch Tuesday updates repeatedly fail with 'Rollback changes' error.,2024-11-21,2024-11-24,System_Admin
TICKET-212,Medium,In Progress,Access,Access denied to shared folder S:,User confirmed membership in correct AD group; but permission is denied.,2024-11-28,,Network_Ops
TICKET-213,Critical,Resolved,Network,Shared drive access slow,Read/write speed to shared file server is unusably slow.,2024-11-16,2024-11-20,System_Admin
TICKET-214,High,Resolved,Messaging,Cannot send large attachments,Outlook returning an error about exceeding attachment size limit (25MB).,2024-11-17,2024-11-20,IT_Support
TICKET-215,High,In Progress,Security,Antivirus signature outdated on endpoint,AV console reports machine requires update and is out of compliance.,2024-12-04,,Helpdesk
TICKET-216,High,Open,Security,Suspicious network traffic alert,IDS triggered alert for unauthorized port scanning activity.,2024-11-26,,Helpdesk
TICKET-217,High,In Progress,Hardware,Laptop screen replacement,Screen is cracked and needs replacing ASAP. User needs loaner device.,2024-11-29,,Security
TICKET-218,Medium,Open,Hardware,Laptop screen replacement,Screen is cracked and needs replacing ASAP. User needs loaner device.,2024-11-15,,Security
TICKET-219,Critical,In Progress,Messaging,Shared mailbox access needed,User requires delegate access to 'Info@company.com' mailbox.,2024-11-27,,Security
TICKET-220,Critical,In Progress,Peripherals,Scanner setup required,Desk scanner needs driver installation and configuration for document management.,2024-11-26,,Helpdesk
TICKET-221,Medium,Resolved,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-11-24,2024-11-27,Network_Ops
TICKET-222,High,Open,Network,VPN slow connectivity,Experiencing intermittent packet loss and slow connection when using VPN from home.,2024-11-20,,Security
TICKET-223,High,In Progress,Messaging,Spam filter tuning request,Too many false positives (legitimate emails marked as spam).,2024-11-24,,Network_Ops
TICKET-224,High,Closed,Messaging,Email service down in Marketing,External/Internal email not flowing for the entire Marketing department.,2024-11-17,2024-11-22,System_Admin
TICKET-225,Medium,Resolved,Hardware,Laptop screen replacement,Screen is cracked and needs replacing ASAP. User needs loaner device.,2024-11-25,2024-11-26,Helpdesk
TICKET-226,Medium,Resolved,Network,VPN slow connectivity,Experiencing intermittent packet loss and slow connection when using VPN from home.,2024-11-20,2024-11-25,Network_Ops
TICKET-227,Low,Resolved,Security,Suspicious network traffic alert,IDS triggered alert for unauthorized port scanning activity.,2024-11-15,2024-11-16,System_Admin
TICKET-228,Low,In Progress,Messaging,Email service down in Marketing,External/Internal email not flowing for the entire Marketing department.,2024-11-24,,System_Admin
TICKET-229,High,Open,Access,Multi-factor authentication reset,User lost phone/authenticator device; MFA token needs reset.,2024-12-04,,System_Admin
TICKET-230,Critical,Closed,Server,Database server unresponsive,SQL server instance is not accepting connections. Check services/logs.,2024-11-17,2024-11-19,Security
TICKET-231,Medium,Open,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-11-23,,System_Admin
TICKET-232,Critical,Resolved,Network,WiFi authentication intermittent,Users on Guest network intermittently dropped; credentials re-entry required.,2024-11-24,2024-11-28,IT_Support
TICKET-233,Low,Resolved,Software,PDF editor crashing on launch,Adobe Acrobat Pro closes immediately after attempting to open any document.,2024-11-26,2024-11-28,IT_Support
TICKET-234,Low,In Progress,Access,Password reset requested,User locked out due to forgotten password. Urgent reset required.,2024-11-27,,Helpdesk
TICKET-235,High,Open,Software,New software installation request (Photoshop),Request for installation of Adobe Photoshop on Marketing Dept. workstation.,2024-12-03,,Security
TICKET-236,High,Open,Access,Password reset requested,User locked out due to forgotten password. Urgent reset required.,2024-11-28,,System_Admin
TICKET-237,Low,Closed,Hardware,Laptop screen replacement,Screen is cracked and needs replacing ASAP. User needs loaner device.,2024-11-28,2024-12-02,Network_Ops
TICKET-238,Medium,Resolved,Peripherals,Scanner setup required,Desk scanner needs driver installation and configuration for document management.,2024-11-23,2024-11-27,IT_Support
TICKET-239,Critical,Open,Access,New employee access request,New hire needs standard access to ERP; CRM; and shared drives.,2024-11-18,,Network_Ops
TICKET-240,Critical,Resolved,Access,Access denied to shared folder S:,User confirmed membership in correct AD group; but permission is denied.,2024-11-25,2024-11-29,IT_Support
TICKET-241,High,Open,Server,Database server unresponsive,SQL server instance is not accepting connections. Check services/logs.,2024-11-26,,Helpdesk
TICKET-242,Medium,Resolved,Access,Multi-factor authentication reset,User lost phone/authenticator device; MFA token needs reset.,2024-12-01,2024-12-04,Security
TICKET-243,Critical,Resolved,Network,VPN slow connectivity,Experiencing intermittent packet loss and slow connection when using VPN from home.,2024-11-26,2024-11-30,Network_Ops
TICKET-244,Low,Resolved,Peripherals,Label printer fault,Zebra label printer feeding blank labels. Needs calibration.,2024-11-15,2024-11-16,System_Admin
TICKET-245,Medium,In Progress,Security,Antivirus signature outdated on endpoint,AV console reports machine requires update and is out of compliance.,2024-11-22,,Network_Ops
TICKET-246,Medium,In Progress,Messaging,Email service down in Marketing,External/Internal email not flowing for the entire Marketing department.,2024-11-25,,IT_Support
TICKET-247,Medium,Open,Access,Access denied to shared folder S:,User confirmed membership in correct AD group; but permission is denied.,2024-11-16,,Network_Ops
TICKET-248,High,Open,Software,Office 365 licensing issue,User cannot activate Outlook after update; receiving error code 0x80041003.,2024-12-03,,Helpdesk
TICKET-249,Critical,In Progress,Network,Shared drive access slow,Read/write speed to shared file server is unusably slow.,2024-11-29,,Security
TICKET-250,High,Open,Peripherals,New Mouse/Keyboard request,Standard wireless peripheral set needed for workstation upgrade.,2024-12-03,,Security
TICKET-251,High,Open,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-11-21,,Helpdesk
TICKET-252,Critical,Resolved,Network,VPN slow connectivity,Experiencing intermittent packet loss and slow connection when using VPN from home.,2024-11-28,2024-12-01,Helpdesk
TICKET-253,Medium,Resolved,Messaging,Cannot send large attachments,Outlook returning an error about exceeding attachment size limit (25MB).,2024-11-17,2024-11-20,Network_Ops
TICKET-254,High,Resolved,Server,Database server unresponsive,SQL server instance is not accepting connections. Check services/logs.,2024-11-21,2024-11-25,IT_Support
TICKET-255,Medium,Open,Network,WiFi authentication intermittent,Users on Guest network intermittently dropped; credentials re-entry required.,2024-11-22,,System_Admin
TICKET-256,Low,Resolved,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-11-28,2024-12-03,IT_Support
TICKET-257,High,In Progress,Network,Shared drive access slow,Read/write speed to shared file server is unusably slow.,2024-11-21,,System_Admin
TICKET-258,Critical,Resolved,Messaging,Spam filter tuning request,Too many false positives (legitimate emails marked as spam).,2024-11-24,2024-11-26,System_Admin
TICKET-259,Low,In Progress,Messaging,Email service down in Marketing,External/Internal email not flowing for the entire Marketing department.,2024-11-18,,Helpdesk
TICKET-260,High,In Progress,Software,New software installation request (Photoshop),Request for installation of Adobe Photoshop on Marketing Dept. workstation.,2024-11-20,,Network_Ops
TICKET-261,Low,In Progress,Server,Security patch failed to deploy on 5 servers,WSUS deployment failed on a critical subset of application servers.,2024-11-27,,Network_Ops
TICKET-262,High,Open,Software,PDF editor crashing on launch,Adobe Acrobat Pro closes immediately after attempting to open any document.,2024-11-24,,Network_Ops
TICKET-263,Medium,In Progress,Network,No internet access in Room 305,Port seems dead. Check wall jack and switch port patching.,2024-11-16,,Network_Ops
TICKET-264,Low,Resolved,Peripherals,Label printer fault,Zebra label printer feeding blank labels. Needs calibration.,2024-11-24,2024-11-27,Helpdesk
TICKET-265,Critical,In Progress,Access,Access denied to shared folder S:,User confirmed membership in correct AD group; but permission is denied.,2024-11-23,,IT_Support
TICKET-266,High,Resolved,Access,Access denied to shared folder S:,User confirmed membership in correct AD group; but permission is denied.,2024-11-17,2024-11-20,Security
TICKET-267,Low,Closed,Peripherals,Scanner setup required,Desk scanner needs driver installation and configuration for document management.,2024-11-26,2024-11-28,System_Admin
TICKET-268,High,Open,Security,Suspicious network traffic alert,IDS triggered alert for unauthorized port scanning activity.,2024-12-02,,Helpdesk
TICKET-269,Low,Closed,Messaging,Shared mailbox access needed,User requires delegate access to 'Info@company.com' mailbox.,2024-11-20,2024-11-21,IT_Support
TICKET-270,Medium,Resolved,Hardware,Monitor cable missing,New employee setup; DVI/HDMI cable for second monitor is required.,2024-11-19,2024-11-24,Security
TICKET-271,Critical,Closed,Network,Shared drive access slow,Read/write speed to shared file server is unusably slow.,2024-11-27,2024-11-28,Security
TICKET-272,High,In Progress,Access,Password reset requested,User locked out due to forgotten password. Urgent reset required.,2024-11-18,,Security
TICKET-273,Low,Resolved,Hardware,Laptop screen replacement,Screen is cracked and needs replacing ASAP. User needs loaner device.,2024-11-22,2024-11-26,System_Admin
TICKET-274,Low,Open,Access,New employee access request,New hire needs standard access to ERP; CRM; and shared drives.,2024-11-24,,Network_Ops
TICKET-275,Medium,Open,Messaging,Spam filter tuning request,Too many false positives (legitimate emails marked as spam).,2024-11-28,,System_Admin
TICKET-276,Critical,Resolved,Network,Shared drive access slow,Read/write speed to shared file server is unusably slow.,2024-11-17,2024-11-20,Helpdesk
TICKET-277,Medium,Resolved,Security,Suspicious network traffic alert,IDS triggered alert for unauthorized port scanning activity.,2024-11-29,2024-12-01,IT_Support
TICKET-278,High,Resolved,Peripherals,Label printer fault,Zebra label printer feeding blank labels. Needs calibration.,2024-11-16,2024-11-21,System_Admin
TICKET-279,High,Resolved,Access,Access denied to shared folder S:,User confirmed membership in correct AD group; but permission is denied.,2024-11-20,2024-11-21,Helpdesk
TICKET-280,Critical,In Progress,Software,New software installation request (Photoshop),Request for installation of Adobe Photoshop on Marketing Dept. workstation.,2024-11-15,,Network_Ops
TICKET-281,High,Open,Messaging,Email service down in Marketing,External/Internal email not flowing for the entire Marketing department.,2024-11-28,,Security
TICKET-282,Critical,Open,Server,Database server unresponsive,SQL server instance is not accepting connections. Check services/logs.,2024-12-03,,Network_Ops
TICKET-283,Critical,Resolved,Access,New employee access request,New hire needs standard access to ERP; CRM; and shared drives.,2024-11-19,2024-11-20,System_Admin
TICKET-284,Medium,In Progress,Hardware,Monitor cable missing,New employee setup; DVI/HDMI cable for second monitor is required.,2024-11-25,,Helpdesk
TICKET-285,Medium,Resolved,Access,Password reset requested,User locked out due to forgotten password. Urgent reset required.,2024-11-21,2024-11-24,System_Admin
TICKET-286,High,Open,Peripherals,Scanner setup required,Desk scanner needs driver installation and configuration for document management.,2024-11-28,,Security
TICKET-287,High,Resolved,Server,Database server unresponsive,SQL server instance is not accepting connections. Check services/logs.,2024-11-15,2024-11-19,Security
TICKET-288,Medium,Open,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-11-20,,Network_Ops
TICKET-289,Low,Closed,Messaging,Spam filter tuning request,Too many false positives (legitimate emails marked as spam).,2024-11-23,2024-11-27,Network_Ops
TICKET-290,Medium,Resolved,Network,WiFi authentication intermittent,Users on Guest network intermittently dropped; credentials re-entry required.,2024-11-29,2024-12-02,IT_Support
TICKET-291,High,Open,Messaging,Cannot send large attachments,Outlook returning an error about exceeding attachment size limit (25MB).,2024-11-29,,System_Admin
TICKET-292,High,Open,Security,Firewall rule modification request,Request to open port 443 inbound to new web server IP.,2024-11-24,,Network_Ops
TICKET-293,Medium,Resolved,Hardware,Laptop screen replacement,Screen is cracked and needs replacing ASAP. User needs loaner device.,2024-11-17,2024-11-18,Network_Ops
TICKET-294,Critical,In Progress,Network,Shared drive access slow,Read/write speed to shared file server is unusably slow.,2024-11-19,,Helpdesk
TICKET-295,Medium,Resolved,Server,Security patch failed to deploy on 5 servers,WSUS deployment failed on a critical subset of application servers.,2024-11-19,2024-11-20,Network_Ops
TICKET-296,High,Closed,Access,Access denied to shared folder S:,User confirmed membership in correct AD group; but permission is denied.,2024-11-25,2024-11-28,IT_Support
TICKET-297,High,Open,Messaging,Shared mailbox access needed,User requires delegate access to 'Info@company.com' mailbox.,2024-11-26,,IT_Support
TICKET-298,Critical,Resolved,Network,VPN slow connectivity,Experiencing intermittent packet loss and slow connection when using VPN from home.,2024-11-16,2024-11-18,System_Admin
TICKET-299,Medium,In Progress,Hardware,Laptop screen replacement,Screen is cracked and needs replacing ASAP. User needs loaner device.,2024-12-03,,Helpdesk
TICKET-300,High,Open,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-12-03,,Security
TICKET-301,Low,Resolved,Security,Suspicious network traffic alert,IDS triggered alert for unauthorized port scanning activity.,2024-11-24,2024-11-28,Helpdesk
TICKET-302,High,Open,Software,Office 365 licensing issue,User cannot activate Outlook after update; receiving error code 0x80041003.,2024-11-29,,Network_Ops
TICKET-303,High,In Progress,Peripherals,Scanner setup required,Desk scanner needs driver installation and configuration for document management.,2024-11-17,,IT_Support
TICKET-304,Low,Open,Messaging,Email service down in Marketing,External/Internal email not flowing for the entire Marketing department.,2024-12-02,,System_Admin
TICKET-305,Critical,In Progress,Server,Storage warning on File Server 1,Drive C: space dropping below 10%. Clear temporary files or extend volume.,2024-11-24,,Security
TICKET-306,Low,Resolved,Hardware,Laptop screen replacement,Screen is cracked and needs replacing ASAP. User needs loaner device.,2024-11-26,2024-11-29,Helpdesk
TICKET-307,Medium,Resolved,Network,Shared drive access slow,Read/write speed to shared file server is unusably slow.,2024-11-18,2024-11-19,Helpdesk
TICKET-308,Medium,Open,Peripherals,New Mouse/Keyboard request,Standard wireless peripheral set needed for workstation upgrade.,2024-11-24,,Network_Ops
TICKET-309,Medium,Open,Access,Password reset requested,User locked out due to forgotten password. Urgent reset required.,2024-11-26,,Network_Ops
TICKET-310,High,Resolved,Access,Password reset requested,User locked out due to forgotten password. Urgent reset required.,2024-12-03,2024-12-04,Network_Ops
TICKET-311,High,Open,Peripherals,Label printer fault,Zebra label printer feeding blank labels. Needs calibration.,2024-11-23,,System_Admin
TICKET-312,High,In Progress,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-11-15,,Security
TICKET-313,Medium,Resolved,Server,Security patch failed to deploy on 5 servers,WSUS deployment failed on a critical subset of application servers.,2024-11-25,2024-11-30,IT_Support
TICKET-314,Low,Resolved,Hardware,Monitor cable missing,New employee setup; DVI/HDMI cable for second monitor is required.,2024-11-16,2024-11-17,IT_Support
TICKET-315,Low,Open,Access,Password reset requested,User locked out due to forgotten password. Urgent reset required.,2024-11-22,,Network_Ops
TICKET-316,Medium,In Progress,Server,Database server unresponsive,SQL server instance is not accepting connections. Check services/logs.,2024-12-02,,Security
TICKET-317,Medium,Resolved,Access,New employee access request,New hire needs standard access to ERP; CRM; and shared drives.,2024-11-28,2024-12-03,Network_Ops
TICKET-318,Critical,Open,Messaging,Cannot send large attachments,Outlook returning an error about exceeding attachment size limit (25MB).,2024-11-21,,Security
TICKET-319,Low,Resolved,Network,Shared drive access slow,Read/write speed to shared file server is unusably slow.,2024-11-22,2024-11-26,Security
TICKET-320,Low,Resolved,Server,Security patch failed to deploy on 5 servers,WSUS deployment failed on a critical subset of application servers.,2024-11-29,2024-11-30,System_Admin
TICKET-321,Low,Resolved,Security,Suspicious network traffic alert,IDS triggered alert for unauthorized port scanning activity.,2024-11-16,2024-11-18,IT_Support
TICKET-322,Low,Open,Hardware,Monitor cable missing,New employee setup; DVI/HDMI cable for second monitor is required.,2024-11-16,,Network_Ops
TICKET-323,Low,Closed,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-11-18,2024-11-22,System_Admin
TICKET-324,Medium,Resolved,Server,Storage warning on File Server 1,Drive C: space dropping below 10%. Clear temporary files or extend volume.,2024-11-26,2024-12-01,IT_Support
TICKET-325,Critical,Open,Software,Windows Update failure,Patch Tuesday updates repeatedly fail with 'Rollback changes' error.,2024-11-29,,System_Admin
TICKET-326,Medium,In Progress,Software,Windows Update failure,Patch Tuesday updates repeatedly fail with 'Rollback changes' error.,2024-11-17,,Network_Ops
TICKET-327,Critical,Closed,Network,Shared drive access slow,Read/write speed to shared file server is unusably slow.,2024-11-21,2024-11-23,System_Admin
TICKET-328,Critical,Resolved,Messaging,Spam filter tuning request,Too many false positives (legitimate emails marked as spam).,2024-11-20,2024-11-23,Network_Ops
TICKET-329,Low,Open,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-11-27,,System_Admin
TICKET-330,Critical,Closed,Messaging,Email service down in Marketing,External/Internal email not flowing for the entire Marketing department.,2024-11-24,2024-11-29,Security
TICKET-331,Medium,Resolved,Peripherals,Scanner setup required,Desk scanner needs driver installation and configuration for document management.,2024-11-18,2024-11-22,Network_Ops
TICKET-332,Low,In Progress,Software,Windows Update failure,Patch Tuesday updates repeatedly fail with 'Rollback changes' error.,2024-11-23,,IT_Support
TICKET-333,Medium,Open,Messaging,Email service down in Marketing,External/Internal email not flowing for the entire Marketing department.,2024-11-20,,Network_Ops
TICKET-334,Low,Resolved,Access,Access denied to shared folder S:,User confirmed membership in correct AD group; but permission is denied.,2024-11-20,2024-11-23,Security
TICKET-335,Medium,Open,Peripherals,New Mouse/Keyboard request,Standard wireless peripheral set needed for workstation upgrade.,2024-11-26,,IT_Support
TICKET-336,Medium,Resolved,Access,Password reset requested,User locked out due to forgotten password. Urgent reset required.,2024-11-24,2024-11-25,Network_Ops
TICKET-337,High,Resolved,Server,Storage warning on File Server 1,Drive C: space dropping below 10%. Clear temporary files or extend volume.,2024-11-20,2024-11-25,System_Admin
TICKET-338,High,In Progress,Hardware,Monitor cable missing,New employee setup; DVI/HDMI cable for second monitor is required.,2024-12-02,,Helpdesk
TICKET-339,Medium,Open,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-12-01,,Security
TICKET-340,Medium,Resolved,Software,PDF editor crashing on launch,Adobe Acrobat Pro closes immediately after attempting to open any document.,2024-11-23,2024-11-26,Security
TICKET-341,Critical,Resolved,Hardware,Laptop screen replacement,Screen is cracked and needs replacing ASAP. User needs loaner device.,2024-11-23,2024-11-25,Helpdesk
TICKET-342,Low,Open,Messaging,Shared mailbox access needed,User requires delegate access to 'Info@company.com' mailbox.,2024-11-22,,Security
TICKET-343,High,In Progress,Software,Windows Update failure,Patch Tuesday updates repeatedly fail with 'Rollback changes' error.,2024-11-22,,Helpdesk
TICKET-344,Low,In Progress,Hardware,Monitor cable missing,New employee setup; DVI/HDMI cable for second monitor is required.,2024-11-17,,IT_Support
TICKET-345,Critical,Open,Access,Multi-factor authentication reset,User lost phone/authenticator device; MFA token needs reset.,2024-11-24,,Network_Ops
TICKET-346,Critical,Resolved,Security,Suspicious network traffic alert,IDS triggered alert for unauthorized port scanning activity.,2024-11-28,2024-12-01,System_Admin
TICKET-347,Low,Resolved,Access,Access denied to shared folder S:,User confirmed membership in correct AD group; but permission is denied.,2024-11-22,2024-11-25,Helpdesk
TICKET-348,Low,In Progress,Peripherals,Cannot print to department printer,Printer P305 offline/not responding to job requests.,2024-12-02,,Helpdesk
TICKET-349,Critical,Open,Network,VPN slow connectivity,Experiencing intermittent packet loss and slow connection when using VPN from home.,2024-11-17,,System_Admin
TICKET-350,Critical,Resolved,Messaging,Cannot send large attachments,Outlook returning an error about exceeding attachment size limit (25MB).,2024-11-23,2024-11-24,System_Admin
TICKET-351,Critical,In Progress,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-11-28,,Network_Ops
TICKET-352,Medium,Open,Messaging,Cannot send large attachments,Outlook returning an error about exceeding attachment size limit (25MB).,2024-11-25,,IT_Support
TICKET-353,High,In Progress,Access,Password reset requested,User locked out due to forgotten password. Urgent reset required.,2024-11-20,,IT_Support
TICKET-354,High,In Progress,Hardware,Laptop screen replacement,Screen is cracked and needs replacing ASAP. User needs loaner device.,2024-11-24,,System_Admin
TICKET-355,Critical,In Progress,Software,New software installation request (Photoshop),Request for installation of Adobe Photoshop on Marketing Dept. workstation.,2024-11-24,,Network_Ops
TICKET-356,Medium,In Progress,Server,Security patch failed to deploy on 5 servers,WSUS deployment failed on a critical subset of application servers.,2024-12-03,,Network_Ops
TICKET-357,Low,Open,Server,Database server unresponsive,SQL server instance is not accepting connections. Check services/logs.,2024-11-27,,Helpdesk
TICKET-358,Low,Resolved,Peripherals,Scanner setup required,Desk scanner needs driver installation and configuration for document management.,2024-11-15,2024-11-19,Helpdesk
TICKET-359,High,In Progress,Server,Database server unresponsive,SQL server instance is not accepting connections. Check services/logs.,2024-11-22,,Network_Ops
TICKET-360,Medium,Resolved,Network,No internet access in Room 305,Port seems dead. Check wall jack and switch port patching.,2024-11-19,2024-11-20,IT_Support
TICKET-361,High,Open,Network,Shared drive access slow,Read/write speed to shared file server is unusably slow.,2024-11-20,,Network_Ops
TICKET-362,Critical,Resolved,Peripherals,New Mouse/Keyboard request,Standard wireless peripheral set needed for workstation upgrade.,2024-11-15,2024-11-16,Security
TICKET-363,Medium,Open,Messaging,Cannot send large attachments,Outlook returning an error about exceeding attachment size limit (25MB).,2024-11-26,,Helpdesk
TICKET-364,Low,Open,Security,Antivirus signature outdated on endpoint,AV console reports machine requires update and is out of compliance.,2024-11-18,,Helpdesk
TICKET-365,Medium,Open,Network,No internet access in Room 305,Port seems dead. Check wall jack and switch port patching.,2024-11-22,,Helpdesk
TICKET-366,Medium,Resolved,Network,No internet access in Room 305,Port seems dead. Check wall jack and switch port patching.,2024-11-26,2024-11-28,Security
TICKET-367,Low,In Progress,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-11-30,,Network_Ops
TICKET-368,Medium,Resolved,Peripherals,Label printer fault,Zebra label printer feeding blank labels. Needs calibration.,2024-11-28,2024-12-03,System_Admin
TICKET-369,Low,Resolved,Software,PDF editor crashing on launch,Adobe Acrobat Pro closes immediately after attempting to open any document.,2024-11-20,2024-11-24,Network_Ops
TICKET-370,Medium,Resolved,Security,Suspicious network traffic alert,IDS triggered alert for unauthorized port scanning activity.,2024-11-27,2024-11-28,Network_Ops
TICKET-371,Medium,In Progress,Peripherals,Cannot print to department printer,Printer P305 offline/not responding to job requests.,2024-11-25,,System_Admin
TICKET-372,Low,Resolved,Access,New employee access request,New hire needs standard access to ERP; CRM; and shared drives.,2024-11-18,2024-11-22,Security
TICKET-373,Critical,Resolved,Software,Office 365 licensing issue,User cannot activate Outlook after update; receiving error code 0x80041003.,2024-11-24,2024-11-29,Network_Ops
TICKET-374,High,In Progress,Messaging,Cannot send large attachments,Outlook returning an error about exceeding attachment size limit (25MB).,2024-11-20,,Security
TICKET-375,Low,Open,Hardware,Monitor cable missing,New employee setup; DVI/HDMI cable for second monitor is required.,2024-11-20,,Helpdesk
TICKET-376,Low,In Progress,Hardware,Laptop screen replacement,Screen is cracked and needs replacing ASAP. User needs loaner device.,2024-11-28,,Helpdesk
TICKET-377,Medium,Resolved,Hardware,Desktop freezing randomly,Computer locks up; requires hard reboot 5-10 times daily.,2024-11-29,2024-12-03,System_Admin
TICKET-378,Low,Open,Server,Database server unresponsive,SQL server instance is not accepting connections. Check services/logs.,2024-11-22,,System_Admin
TICKET-379,Low,Open,Peripherals,Scanner setup required,Desk scanner needs driver installation and configuration for document management.,2024-11-20,,System_Admin
TICKET-380,Low,Resolved,Network,Shared drive access slow,Read/write speed to shared file server is unusably slow.,2024-11-15,2024-11-17,IT_Support
TICKET-381,Critical,Closed,Peripherals,Scanner setup required,Desk scanner needs driver installation and configuration for document management.,2024-11-26,2024-11-27,Network_Ops
TICKET-382,Medium,Resolved,Access,Access denied to shared folder S:,User confirmed membership in correct AD group; but permission is denied.,2024-11-19,2024-11-20,IT_Support
TICKET-383,Medium,Resolved,Server,Security patch failed to deploy on 5 servers,WSUS deployment failed on a critical subset of application servers.,2024-11-21,2024-11-23,Helpdesk
TICKET-384,Critical,Open,Software,Windows Update failure,Patch Tuesday updates repeatedly fail with 'Rollback changes' error.,2024-12-01,,Helpdesk
TICKET-385,Critical,Open,Access,New employee access request,New hire needs standard access to ERP; CRM; and shared drives.,2024-11-25,,IT_Support
TICKET-386,Low,Resolved,Peripherals,Label printer fault,Zebra label printer feeding blank labels. Needs calibration.,2024-11-21,2024-11-25,IT_Support
TICKET-387,Low,Resolved,Security,Suspicious network traffic alert,IDS triggered alert for unauthorized port scanning activity.,2024-11-27,2024-11-29,Helpdesk
TICKET-388,Low,In Progress,Security,Antivirus signature outdated on endpoint,AV console reports machine requires update and is out of compliance.,2024-12-01,,System_Admin
TICKET-389,Medium,Open,Access,New employee access request,New hire needs standard access to ERP; CRM; and shared drives.,2024-11-27,,System_Admin
TICKET-390,Low,Resolved,Hardware,Laptop screen replacement,Screen is cracked and needs replacing ASAP. User needs loaner device.,2024-11-16,2024-11-21,Helpdesk
TICKET-391,Medium,Open,Messaging,Shared mailbox access needed,User requires delegate access to 'Info@company.com' mailbox.,2024-11-29,,Security
TICKET-392,High,Open,Messaging,Email service down in Marketing,External/Internal email not flowing for the entire Marketing department.,2024-11-25,,Helpdesk
TICKET-393,Low,Resolved,Access,Multi-factor authentication reset,User lost phone/authenticator device; MFA token needs reset.,2024-11-20,2024-11-23,System_Admin
TICKET-394,Critical,Resolved,Hardware,Monitor cable missing,New employee setup; DVI/HDMI cable for second monitor is required.,2024-11-22,2024-11-24,IT_Support
TICKET-395,High,Open,Network,VPN slow connectivity,Experiencing intermittent packet loss and slow connection when using VPN from home.,2024-11-21,,IT_Support
TICKET-396,Critical,In Progress,Server,Database server unresponsive,SQL server instance is not accepting connections. Check services/logs.,2024-11-29,,IT_Support
TICKET-397,Critical,Closed,Peripherals,Cannot print to department printer,Printer P305 offline/not responding to job requests.,2024-11-28,2024-12-03,System_Admin
TICKET-398,Low,Resolved,Access,Access denied to shared folder S:,User confirmed membership in correct AD group; but permission is denied.,2024-12-03,2024-12-04,Network_Ops
TICKET-399,High,Open,Security,Antivirus signature outdated on endpoint,AV console reports machine requires update and is out of compliance.,2024-11-18,,Network_Ops
TICKET-400,High,Open,Network,WiFi authentication intermittent,Users on Guest network intermittently dropped; credentials re-entry required.,2024-11-29,,Security
TICKET-401,Critical,In Progress,Server,Storage warning on File Server 1,Drive C: space dropping below 10%. Clear temporary files or extend volume.,2024-11-17,,IT_Support
TICKET-402,High,Resolved,Messaging,Cannot send large attachments,Outlook returning an error about exceeding attachment size limit (25MB).,2024-11-22,2024-11-24,System_Admin
TICKET-403,Medium,Resolved,Hardware,Laptop screen replacement,Screen is cracked and needs replacing ASAP. User needs loaner device.,2024-11-19,2024-11-20,Helpdesk
TICKET-404,High,Open,Software,PDF editor crashing on launch,Adobe Acrobat Pro closes immediately after attempting to open any document.,2024-12-02,,IT_Support
